,new_cases_smoothed
2022-07-05,57651.429
2022-07-06,68675.143
2022-07-07,57387.429
2022-07-08,56683.0
2022-07-09,57522.0
2022-07-10,58006.0
2022-07-11,57797.714
2022-07-12,56291.571
2022-07-13,55585.571
2022-07-14,54632.571
2022-07-15,59896.143
2022-07-16,59395.0
2022-07-17,57807.714
2022-07-18,57044.0
2022-07-19,56179.857
2022-07-20,53930.714
2022-07-21,51938.429
2022-07-22,43629.857
2022-07-23,37894.286
2022-07-24,41462.571
2022-07-25,40307.143
2022-07-26,37437.857
2022-07-27,35728.429
2022-07-28,34751.143
2022-07-29,33596.0
2022-07-30,36865.857
2022-07-31,34649.143
2022-08-01,33428.429
2022-08-02,32935.571
2022-08-03,31381.143
2022-08-04,30787.0
2022-08-05,29110.286
2022-08-06,28226.571
2022-08-07,26353.0
2022-08-08,25688.0
2022-08-09,25081.714
2022-08-10,20277.0
2022-08-11,22869.286
2022-08-12,21951.571
2022-08-13,19565.429
2022-08-14,18537.143
2022-08-15,20351.429
2022-08-16,19325.714
2022-08-17,22458.143
2022-08-18,17256.429
2022-08-19,16586.571
2022-08-20,16586.571
2022-08-21,16586.571
2022-08-22,15232.0
2022-08-23,11940.571
2022-08-24,15199.0
2022-08-25,15037.857
2022-08-26,14953.143
2022-08-27,14953.143
2022-08-28,14953.143
2022-08-29,16048.714
2022-08-30,18449.571
2022-08-31,14321.857
2022-09-01,11316.286
2022-09-02,12462.286
2022-09-03,12462.286
2022-09-04,12462.286
2022-09-05,11476.286
2022-09-06,9075.429
2022-09-07,6812.286
2022-09-08,6812.286
2022-09-09,8656.286
