year;month;day;lod(ms);sig(ms);
1963;7;9;0.6610;1.4000;
1963;7;10;0.7950;1.4000;
1963;7;11;0.9600;1.4000;
1963;7;12;1.1020;1.4000;
1963;7;13;1.1970;1.4000;
1963;7;14;1.2110;1.4000;
1963;7;15;1.1480;1.4000;
1963;7;16;0.9990;1.4000;
1963;7;17;0.8200;1.4000;
1963;7;18;0.6560;1.4000;
1963;7;19;0.5440;1.4000;
1963;7;20;0.5080;1.4000;
1963;7;21;0.5490;1.4000;
1963;7;22;0.6430;1.4000;
1963;7;23;0.7660;1.4000;
1963;7;24;0.8670;1.4000;
1963;7;25;0.9380;1.4000;
1963;7;26;0.9790;1.4000;
1963;7;27;0.9690;1.4000;
1963;7;28;0.9310;1.4000;
1963;7;29;0.8550;1.4000;
1963;7;30;0.7730;1.4000;
1963;7;31;0.6900;1.4000;
1963;8;1;0.6340;1.4000;
1963;8;2;0.5980;1.4000;
1963;8;3;0.6300;1.4000;
1963;8;4;0.7230;1.4000;
1963;8;5;0.8740;1.4000;
1963;8;6;1.0700;1.4000;
1963;8;7;1.2990;1.4000;
1963;8;8;1.5090;1.4000;
1963;8;9;1.6460;1.4000;
1963;8;10;1.6920;1.4000;
1963;8;11;1.6350;1.4000;
1963;8;12;1.5020;1.4000;
1963;8;13;1.3200;1.4000;
1963;8;14;1.1410;1.4000;
1963;8;15;1.0070;1.4000;
1963;8;16;0.9430;1.4000;
1963;8;17;0.9570;1.4000;
1963;8;18;1.0320;1.4000;
1963;8;19;1.1390;1.4000;
1963;8;20;1.2450;1.4000;
1963;8;21;1.3250;1.4000;
1963;8;22;1.3630;1.4000;
1963;8;23;1.3470;1.4000;
1963;8;24;1.2880;1.4000;
1963;8;25;1.2040;1.4000;
1963;8;26;1.1100;1.4000;
1963;8;27;1.0120;1.4000;
1963;8;28;0.9270;1.4000;
1963;8;29;0.8820;1.4000;
1963;8;30;0.8790;1.4000;
1963;8;31;0.9320;1.4000;
1963;9;1;1.0520;1.4000;
1963;9;2;1.2390;1.4000;
1963;9;3;1.4810;1.4000;
1963;9;4;1.7260;1.4000;
1963;9;5;1.9200;1.4000;
1963;9;6;2.0160;1.4000;
1963;9;7;2.0060;1.4000;
1963;9;8;1.8980;1.4000;
1963;9;9;1.7150;1.4000;
1963;9;10;1.5400;1.4000;
1963;9;11;1.3990;1.4000;
1963;9;12;1.3210;1.4000;
1963;9;13;1.3230;1.4000;
1963;9;14;1.4020;1.4000;
1963;9;15;1.5140;1.4000;
1963;9;16;1.6370;1.4000;
1963;9;17;1.7420;1.4000;
1963;9;18;1.7990;1.4000;
1963;9;19;1.8200;1.4000;
1963;9;20;1.7950;1.4000;
1963;9;21;1.7300;1.4000;
1963;9;22;1.6460;1.4000;
1963;9;23;1.5420;1.4000;
1963;9;24;1.4450;1.4000;
1963;9;25;1.3750;1.4000;
1963;9;26;1.3360;1.4000;
1963;9;27;1.3480;1.4000;
1963;9;28;1.4120;1.4000;
1963;9;29;1.5640;1.4000;
1963;9;30;1.7660;1.4000;
1963;10;1;2.0100;1.4000;
1963;10;2;2.2360;1.4000;
1963;10;3;2.3930;1.4000;
1963;10;4;2.4180;1.4000;
1963;10;5;2.3270;1.4000;
1963;10;6;2.1430;1.4000;
1963;10;7;1.9290;1.4000;
1963;10;8;1.7570;1.4000;
1963;10;9;1.6500;1.4000;
1963;10;10;1.6410;1.4000;
1963;10;11;1.7000;1.4000;
1963;10;12;1.7990;1.4000;
1963;10;13;1.9270;1.4000;
1963;10;14;2.0470;1.4000;
1963;10;15;2.1470;1.4000;
1963;10;16;2.2040;1.4000;
1963;10;17;2.2150;1.4000;
1963;10;18;2.1820;1.4000;
1963;10;19;2.1150;1.4000;
1963;10;20;2.0290;1.4000;
1963;10;21;1.9420;1.4000;
1963;10;22;1.8860;1.4000;
1963;10;23;1.8660;1.4000;
1963;10;24;1.8870;1.4000;
1963;10;25;1.9640;1.4000;
1963;10;26;2.0950;1.4000;
1963;10;27;2.2970;1.4000;
1963;10;28;2.5470;1.4000;
1963;10;29;2.7920;1.4000;
1963;10;30;2.9960;1.4000;
1963;10;31;3.0950;1.4000;
1963;11;1;3.0640;1.4000;
1963;11;2;2.9000;1.4000;
1963;11;3;2.6520;1.4000;
1963;11;4;2.4010;1.4000;
1963;11;5;2.2000;1.4000;
1963;11;6;2.0810;1.4000;
1963;11;7;2.0420;1.4000;
1963;11;8;2.0760;1.4000;
1963;11;9;2.1380;1.4000;
1963;11;10;2.1960;1.4000;
1963;11;11;2.2190;1.4000;
1963;11;12;2.2040;1.4000;
1963;11;13;2.1540;1.4000;
1963;11;14;2.0820;1.4000;
1963;11;15;1.9650;1.4000;
1963;11;16;1.8430;1.4000;
1963;11;17;1.7130;1.4000;
1963;11;18;1.5950;1.4000;
1963;11;19;1.5180;1.4000;
1963;11;20;1.4770;1.4000;
1963;11;21;1.5110;1.4000;
1963;11;22;1.6050;1.4000;
1963;11;23;1.7460;1.4000;
1963;11;24;1.9340;1.4000;
1963;11;25;2.1490;1.4000;
1963;11;26;2.3550;1.4000;
1963;11;27;2.4930;1.4000;
1963;11;28;2.5390;1.4000;
1963;11;29;2.4530;1.4000;
1963;11;30;2.2650;1.4000;
1963;12;1;2.0430;1.4000;
1963;12;2;1.8370;1.4000;
1963;12;3;1.7110;1.4000;
1963;12;4;1.6810;1.4000;
1963;12;5;1.7400;1.4000;
1963;12;6;1.8200;1.4000;
1963;12;7;1.9120;1.4000;
1963;12;8;1.9890;1.4000;
1963;12;9;2.0170;1.4000;
1963;12;10;2.0110;1.4000;
1963;12;11;1.9630;1.4000;
1963;12;12;1.8800;1.4000;
1963;12;13;1.7720;1.4000;
1963;12;14;1.6530;1.4000;
1963;12;15;1.5400;1.4000;
1963;12;16;1.4510;1.4000;
1963;12;17;1.4130;1.4000;
1963;12;18;1.4190;1.4000;
1963;12;19;1.4940;1.4000;
1963;12;20;1.6250;1.4000;
1963;12;21;1.8000;1.4000;
1963;12;22;1.9980;1.4000;
1963;12;23;2.1940;1.4000;
1963;12;24;2.3430;1.4000;
1963;12;25;2.4280;1.4000;
1963;12;26;2.4060;1.4000;
1963;12;27;2.2860;1.4000;
1963;12;28;2.1100;1.4000;
1963;12;29;1.9280;1.4000;
1963;12;30;1.8090;1.4000;
1963;12;31;1.7810;1.4000;
1964;1;1;1.8440;1.4000;
1964;1;2;1.9660;1.4000;
1964;1;3;2.1030;1.4000;
1964;1;4;2.2270;1.4000;
1964;1;5;2.3170;1.4000;
1964;1;6;2.3580;1.4000;
1964;1;7;2.3420;1.4000;
1964;1;8;2.2880;1.4000;
1964;1;9;2.1970;1.4000;
1964;1;10;2.0950;1.4000;
1964;1;11;1.9980;1.4000;
1964;1;12;1.9210;1.4000;
1964;1;13;1.8610;1.4000;
1964;1;14;1.8620;1.4000;
1964;1;15;1.9030;1.4000;
1964;1;16;2.0140;1.4000;
1964;1;17;2.1630;1.4000;
1964;1;18;2.3350;1.4000;
1964;1;19;2.4910;1.4000;
1964;1;20;2.5980;1.4000;
1964;1;21;2.6380;1.4000;
1964;1;22;2.6040;1.4000;
1964;1;23;2.4960;1.4000;
1964;1;24;2.3270;1.4000;
1964;1;25;2.1470;1.4000;
1964;1;26;2.0000;1.4000;
1964;1;27;1.9190;1.4000;
1964;1;28;1.9400;1.4000;
1964;1;29;2.0270;1.4000;
1964;1;30;2.1390;1.4000;
1964;1;31;2.2510;1.4000;
1964;2;1;2.3210;1.4000;
1964;2;2;2.3330;1.4000;
1964;2;3;2.2780;1.4000;
1964;2;4;2.1870;1.4000;
1964;2;5;2.0540;1.4000;
1964;2;6;1.9140;1.4000;
1964;2;7;1.7770;1.4000;
1964;2;8;1.6590;1.4000;
1964;2;9;1.5870;1.4000;
1964;2;10;1.5630;1.4000;
1964;2;11;1.5980;1.4000;
