Years;SCH15;STO15;WIL16;BCC;CCSM;GISS;IPSL;MPI
1287;-0.0985;;-0.5406;-1.0516;-0.6928;-1.2040;-2.4183;-1.6551
1288;-0.1857;;-1.0213;-0.9038;-0.9039;-0.8789;-1.6929;-1.4379
1289;0.1253;;-0.7727;-0.8578;-0.4492;-0.6482;-1.2792;-0.9674
1290;-0.2179;;-1.0876;-0.8428;-0.9455;-0.7645;-1.7092;-1.0374
1291;-0.0386;;-0.8390;-1.0704;-0.7397;-0.3372;-1.4465;-0.6824
1292;-0.1839;;-0.9716;-0.7159;-0.8134;-0.2711;-1.4402;-0.6856
1293;-0.2162;;-0.8721;-0.5407;-0.3924;-0.1633;-1.4595;-0.4512
1294;-0.2154;;-1.0876;-0.5871;-0.1803;-0.2969;-1.3559;-0.6182
1295;0.0596;;-0.7395;-0.6664;-0.5104;-0.1444;-1.1718;-0.9479
1296;0.0930;;-0.8224;-0.4300;-0.5734;-0.2551;-1.3278;-0.5438
1297;-0.0153;;-0.7893;-0.5295;-0.5605;-0.5195;-1.2594;-0.7307
1298;-0.1752;;-0.7727;-0.3303;-0.9488;-0.1439;-1.3854;-0.7553
1299;0.0674;;-0.6401;-0.2945;-1.1275;-0.2733;-1.3637;-0.4463
1300;0.0415;;-0.5738;-0.3474;-0.8914;-0.1720;-1.2298;-0.4019
1301;0.0583;;-0.4246;-0.6313;-0.7702;-0.2814;-1.5661;-0.6341
1302;0.0103;;-0.7230;-0.7961;-0.5734;-0.3144;-1.0925;-0.7302
1303;0.2163;;-0.5572;-0.6675;-0.9014;-0.3436;-1.0182;-0.7098
1304;0.2706;;-0.4412;-0.5876;-0.8343;-0.1808;-1.1172;-0.2611
1305;0.0614;;-0.4412;-0.1693;-0.6834;-0.0996;-1.0933;-0.6228
1306;0.2676;;-0.1097;-0.6492;-0.7841;-0.2256;-0.9802;-0.7240
1307;0.2001;;-0.2257;-0.6478;-0.5521;0.0014;-0.3843;-0.5306
